02:03:24.176 timestamp,us,high_mean,high_std,low_mean,low_std,ecc,success_count
02:03:24.198 ,1,7.09,1.7254747,5.12,1.9114002,4,0
02:03:24.220 ,1,10.49,1.582475,8.62,2.1438994,8,0
02:03:24.263 ,1,12.41,2.2104754,10.67,1.8002746,16,0
02:03:24.327 ,1,14.27,1.8642749,12.44,2.1215997,32,0
02:03:24.538 ,1,26.8,1.5949999,25.15,1.4937499,64,0
02:03:25.065 ,1,12.87,1.5932752,11.49,1.5074749,128,0
02:03:25.087 ,10,10.29,1.5114751,9.03,2.3422742,4,0
02:03:25.109 ,10,17.72,1.5004002,15.6,1.6599998,8,0
02:03:25.132 ,10,20.18,1.3937993,18.71,1.6264758,16,0
02:03:25.196 ,10,23.45,1.4837502,21.95,1.551875,32,0
02:03:25.411 ,10,36.61,2.1294749,34.78,4.2589498,64,0
02:03:25.960 ,10,14.41,2.2454753,13.68,3.1846998,128,0
02:03:26.003 ,100,13.24,2.8355997,10.86,2.3550985,4,0
02:03:26.048 ,100,22.83,1.7652748,20.73,2.1042757,8,0
02:03:26.133 ,100,26.37,1.8082749,23.6,2.9499996,16,0
02:03:26.238 ,100,26.97,1.7472751,24.28,1.9204005,32,0
02:03:26.513 ,100,36.8,2.2599993,34.39,2.4694743,64,0
02:03:27.293 ,100,17.82,2.6069007,15.72,4.865201,128,0
02:03:27.358 ,200,12.68,3.5871994,10.57,2.7462745,4,0
02:03:27.464 ,200,24.12,1.5063998,21.85,2.646876,8,0
02:03:27.570 ,200,27.59,1.6154754,25.1,1.6324997,16,0
02:03:27.740 ,200,27.51,1.8274751,25.98,4.31245,32,0
02:03:28.098 ,200,36.23,3.427137,34.42,2.9459002,64,0
02:03:28.835 ,200,19.58,2.7359,17.42,3.5654502,128,0
02:03:28.962 ,300,16.63,4.2841377,14.31,3.8442378,4,0
02:03:29.068 ,300,28.15,2.0618746,25.5,2.4325,8,0
02:03:29.217 ,300,29.76,1.5156,27.29,1.5264755,16,0
02:03:29.449 ,300,28.79,2.0514755,26.96,2.3445995,32,0
02:03:29.870 ,300,36.07,3.2731383,33.58,3.7404513,64,0
02:03:30.882 ,300,20.77,3.5921376,19.15,3.8409367,128,0
02:03:31.009 ,400,16.18,4.0784497,13.47,3.821136,4,0
02:03:31.179 ,400,27.29,2.961475,25.51,1.6324748,8,0
02:03:31.369 ,400,29.52,1.7123992,27.64,1.6675993,16,0
02:03:31.623 ,400,29.7,2.0375001,27.21,2.0564759,32,0
02:03:32.130 ,400,35.67,2.6552727,33.33,2.7302735,64,0
02:03:33.250 ,400,22.26,3.7715502,20.27,3.984637,128,0
02:03:33.420 ,500,16.87,4.8766375,14.84,4.4692984,4,0
02:03:33.611 ,500,29.03,1.827274,26.61,1.919475,8,0
02:03:33.823 ,500,30.02,2.1348999,27.83,1.6452745,16,0
02:03:34.163 ,500,29.62,1.8838999,27.75,2.1868749,32,0
02:03:34.712 ,500,35.39,3.4622376,32.68,2.7243984,64,0
02:03:35.830 ,500,23.3,4.5212502,21.11,4.1072364,128,0
02:03:36.147 ,1000,23.79,6.111619,20.44,5.6608014,4,0
02:03:36.486 ,1000,31.48,2.5723996,28.53,1.677275,8,0
02:03:36.911 ,1000,32.51,3.861238,28.6,1.4999994,16,0
02:03:37.482 ,1000,31.48,1.927399,28.15,2.5318754,32,0
02:03:38.412 ,1000,34.35,2.4468765,31.18,2.7868998,64,0
02:03:40.229 ,1000,27.07,4.623138,23.87,4.6141367,128,0
02:03:40.843 ,2000,26.21,6.661618,22.48,6.29435,4,0
02:03:41.542 ,2000,32.38,1.5488995,28.2,2.135,8,0
02:03:42.346 ,2000,32.6,1.5350006,28.16,1.9236001,16,0
02:03:43.403 ,2000,32.27,1.8492756,27.98,1.6698997,32,0
02:03:45.053 ,2000,33.53,2.5122714,29.62,2.3988996,64,0
02:03:48.036 ,2000,29.7,4.1212516,25.38,4.186949,128,0
02:03:49.263 ,4000,29.13,5.71163,24.11,5.2447352,4,0
02:03:50.596 ,4000,32.7,3.0162501,27.18,3.0784504,8,0
02:03:52.184 ,4000,32.98,1.4897999,27.5,1.305,16,0
02:03:54.236 ,4000,32.48,3.5937,27.4,1.5949999,32,0
02:03:57.311 ,4000,33.37,1.9932748,28,1.8149999,64,0
02:04:02.635 ,4000,30.66,3.5255513,25.65,3.5409377,128,0
02:04:05.070 ,8000,32.92,6.3408504,24.3,3.8962505,4,0
02:04:07.720 ,8000,34.66,1.4721992,26.11,1.48895,8,0
02:04:10.841 ,8000,34.73,1.7342752,26.14,1.6050987,16,0
02:04:14.886 ,8000,34.46,1.6020994,25.99,1.5874754,32,0
02:04:20.841 ,8000,34.78,1.8229,26.06,1.7441002,64,0
02:04:30.797 ,8000,33.85,2.7368753,25.18,2.8969028,128,0
02:04:35.651 ,16000,35.88,3.2807002,22.84,3.0292985,4,0
02:04:40.949 ,16000,36.88,1.4027996,23.68,1.4988005,8,0
02:04:47.160 ,16000,36.58,1.985899,23.55,1.5968751,16,0
02:04:55.181 ,16000,35.73,1.4985503,23.13,1.5482752,32,0
02:05:06.874 ,16000,36.2,2.4649994,23.5,1.435,64,0
02:05:26.137 ,16000,36.08,2.1434019,23.08,1.943401,128,0
02:05:35.834 ,32000,39.13,2.7332757,19.58,2.1958988,4,1
02:05:46.407 ,32000,39.56,1.3031998,20.19,1.4969501,8,0
02:05:58.781 ,32000,39.39,1.889475,19.99,1.8624748,16,0
02:06:14.748 ,32000,39.33,1.5602752,19.94,1.6991,32,0
02:06:37.949 ,32000,39.9,1.5274996,20.33,1.29055,64,0
02:07:15.796 ,32000,39.55,1.7368753,19.9,1.7174996,128,0
02:07:35.174 ,64000,43.58,1.7558984,15.48,1.7973989,4,1
02:07:56.309 ,64000,43.72,1.2008001,15.95,1.611875,8,1
02:08:21.029 ,64000,43.85,1.3237504,15.6,2.4799995,16,0
02:08:52.919 ,64000,43.7,1.6524996,15.14,1.8700993,32,1
02:09:39.118 ,64000,44.15,3.3559368,15.6,1.6349999,64,0
02:10:54.591 ,64000,43.76,1.6905993,15.75,1.781875,128,1
02:11:33.310 ,128000,47.64,3.5787997,11.12,1.9514005,4,1
02:12:15.596 ,128000,47.63,2.1032748,11.15,1.4337505,8,1
02:13:05.005 ,128000,47.64,1.7275999,10.99,1.44495,16,0
02:14:08.682 ,128000,46.7,1.7724998,11.11,1.4289498,32,1
02:15:40.876 ,128000,46.87,1.8282754,11.26,1.4861991,64,0
02:18:10.716 ,128000,47.2,1.3199996,10.98,1.5698998,128,1
02:19:28.141 ,256000,49.7,1.3749996,7.84,1.5535998,4,1
02:20:52.671 ,256000,49.69,1.4469501,7.97,1.37455,8,1
02:22:31.405 ,256000,49.58,3.4504507,7.64,1.6975996,16,0
02:24:38.563 ,256000,49.83,1.4305503,7.79,1.3729497,32,1
02:27:42.704 ,256000,49.58,1.4217998,7.87,1.5082753,64,0
02:32:41.350 ,256000,49.24,1.4211996,7.83,1.4505496,128,1
